iter	Passed	Remaining
0	150	14894
1	189	9277
2	230	7459
3	274	6582
4	317	6023
5	359	5629
6	404	5372
7	450	5176
8	497	5027
9	536	4831
10	577	4670
11	622	4561
12	661	4425
13	700	4305
14	740	4196
15	779	4092
16	818	3997
17	861	3922
18	911	3885
19	959	3837
20	1002	3771
21	1052	3730
22	1092	3656
23	1134	3592
24	1180	3540
25	1228	3496
26	1271	3437
27	1313	3377
28	1355	3319
29	1398	3262
30	1444	3215
31	1480	3145
32	1522	3091
33	1564	3036
34	1604	2980
35	1644	2923
36	1683	2867
37	1721	2809
38	1763	2758
39	1802	2703
40	1839	2647
41	1880	2596
42	1919	2544
43	1946	2477
44	1977	2417
45	2010	2360
46	2048	2310
47	2086	2260
48	2126	2213
49	2165	2165
50	2202	2115
51	2241	2068
52	2284	2026
53	2321	1977
54	2358	1929
55	2399	1885
56	2436	1837
57	2475	1792
58	2515	1748
59	2555	1703
60	2593	1657
61	2632	1613
62	2669	1567
63	2711	1525
64	2751	1481
65	2790	1437
66	2831	1394
67	2872	1351
68	2914	1309
69	2952	1265
70	2994	1223
71	3039	1182
72	3079	1139
73	3120	1096
74	3166	1055
75	3206	1012
76	3250	971
77	3289	927
78	3329	884
79	3370	842
80	3408	799
81	3446	756
82	3484	713
83	3523	671
84	3564	628
85	3608	587
86	3647	545
87	3683	502
88	3719	459
89	3756	417
90	3794	375
91	3835	333
92	3873	291
93	3912	249
94	3950	207
95	3991	166
96	4031	124
97	4070	83
98	4110	41
99	4154	0
